TICKET_ID,CUSTOMER_ID,PURCHASE_DATE,PROMO_APPLIED ,CATEGORY_OF_TICKET_ID,CATEGORY_OF_TICKET_DESC,PAYMENT_METHOD_ID,PAYMENT_METHOD_DESC,PURCHASE_MODE ,PRICE
1,CD0143,27-06-2020,1,1,Annual pass,2,Credit Card,Online,700
2,CD0109,27-11-2019,1,1,Annual pass,1,Cash,Online,700
3,CD0149,18-04-2020,1,3,Daily Pass,2,Credit Card,Online,120
4,CD0053,24-07-2020,1,1,Annual pass,4,Online Payment,Online,700
5,CD0038,18-12-2019,1,1,Annual pass,2,Credit Card,Online,700
6,CD0019,03-12-2019,1,1,Annual pass,2,Credit Card,Offline,700
7,CD0034,17-06-2020,1,2,Parking ticket,1,Cash,Online,20
8,CD0021,02-02-2020,0,1,Annual pass,4,Online Payment,Online,800
9,CD0090,06-02-2020,0,1,Annual pass,2,Credit Card,Online,800
10,CD0046,29-11-2019,0,1,Annual pass,3,Debit Card,Online,800
11,CD0133,03-03-2020,0,2,Parking ticket,1,Cash,Online,20
12,CD0148,28-04-2020,0,2,Parking ticket,1,Cash,Offline,20
13,CD0116,13-05-2020,1,2,Parking ticket,2,Credit Card,Online,20
14,CD0150,16-01-2020,1,2,Parking ticket,4,Online Payment,Online,20
15,CD0040,12-02-2020,0,1,Annual pass,1,Cash,Offline,800
16,CD0111,20-03-2020,1,1,Annual pass,3,Debit Card,Online,700
17,CD0088,14-07-2020,0,2,Parking ticket,1,Cash,Offline,20
18,CD0144,22-06-2020,1,1,Annual pass,3,Debit Card,Online,700
19,CD0076,10-05-2020,1,3,Daily Pass,4,Online Payment,Offline,120
20,CD0002,22-11-2019,1,1,Annual pass,2,Credit Card,Online,700
21,CD0104,30-04-2020,0,3,Daily Pass,4,Online Payment,Offline,150
22,CD0103,28-05-2020,1,1,Annual pass,4,Online Payment,Online,700
23,CD0051,28-12-2019,1,1,Annual pass,2,Credit Card,Offline,700
24,CD0078,11-02-2020,1,2,Parking ticket,2,Credit Card,Offline,20
25,CD0052,25-02-2020,0,2,Parking ticket,3,Debit Card,Offline,20
26,CD0119,05-01-2020,0,2,Parking ticket,1,Cash,Offline,20
27,CD0020,22-06-2020,0,3,Daily Pass,4,Online Payment,Offline,150
28,CD0089,13-02-2020,1,3,Daily Pass,4,Online Payment,Online,120
29,CD0146,27-05-2020,1,2,Parking ticket,3,Debit Card,Offline,20
30,CD0069,08-01-2020,0,3,Daily Pass,1,Cash,Offline,150
31,CD0084,16-11-2019,1,2,Parking ticket,4,Online Payment,Offline,20
32,CD0015,17-01-2020,1,3,Daily Pass,2,Credit Card,Offline,120
33,CD0082,27-11-2019,0,2,Parking ticket,2,Credit Card,Online,20
34,CD0080,17-11-2019,0,1,Annual pass,1,Cash,Online,800
35,CD0037,29-06-2020,0,3,Daily Pass,2,Credit Card,Offline,150
36,CD0142,06-04-2020,0,2,Parking ticket,2,Credit Card,Offline,20
37,CD0024,09-03-2020,0,1,Annual pass,1,Cash,Offline,800
38,CD0084,21-06-2020,0,3,Daily Pass,1,Cash,Offline,150
39,CD0024,18-06-2020,1,2,Parking ticket,1,Cash,Offline,20
40,CD0114,30-11-2019,0,3,Daily Pass,4,Online Payment,Offline,150
41,CD0107,20-04-2020,1,1,Annual pass,2,Credit Card,Offline,700
42,CD0025,30-07-2020,1,1,Annual pass,2,Credit Card,Offline,700
43,CD0045,25-06-2020,1,3,Daily Pass,4,Online Payment,Online,120
44,CD0143,10-01-2020,1,2,Parking ticket,4,Online Payment,Online,20
45,CD0079,10-03-2020,0,3,Daily Pass,1,Cash,Online,150
46,CD0139,05-03-2020,0,1,Annual pass,2,Credit Card,Offline,800
47,CD0035,31-01-2020,0,1,Annual pass,4,Online Payment,Offline,800
48,CD0133,10-03-2020,0,2,Parking ticket,2,Credit Card,Offline,20
49,CD0134,28-05-2020,1,1,Annual pass,1,Cash,Offline,700
50,CD0093,02-01-2020,1,3,Daily Pass,3,Debit Card,Online,120
51,CD0148,06-02-2020,1,1,Annual pass,4,Online Payment,Offline,700
52,CD0099,18-05-2020,0,3,Daily Pass,1,Cash,Offline,150
53,CD0035,30-12-2019,0,2,Parking ticket,2,Credit Card,Offline,20
54,CD0023,25-12-2019,0,3,Daily Pass,1,Cash,Offline,150
55,CD0005,25-12-2019,1,1,Annual pass,2,Credit Card,Offline,700
56,CD0072,22-11-2019,1,1,Annual pass,4,Online Payment,Offline,700
57,CD0005,19-06-2020,0,1,Annual pass,3,Debit Card,Offline,800
58,CD0095,06-07-2020,1,2,Parking ticket,3,Debit Card,Offline,20
59,CD0027,24-01-2020,1,3,Daily Pass,2,Credit Card,Offline,120
60,CD0064,03-06-2020,0,2,Parking ticket,4,Online Payment,Offline,20
61,CD0019,16-01-2020,0,2,Parking ticket,2,Credit Card,Online,20
62,CD0095,04-05-2020,1,3,Daily Pass,4,Online Payment,Online,120
63,CD0105,20-03-2020,0,1,Annual pass,2,Credit Card,Offline,800
64,CD0035,01-04-2020,1,3,Daily Pass,1,Cash,Offline,120
65,CD0117,12-02-2020,0,3,Daily Pass,3,Debit Card,Online,150
66,CD0093,23-02-2020,1,2,Parking ticket,4,Online Payment,Offline,20
67,CD0053,10-11-2019,1,2,Parking ticket,2,Credit Card,Offline,20
68,CD0150,01-04-2020,1,1,Annual pass,4,Online Payment,Offline,700
69,CD0101,19-07-2020,0,1,Annual pass,3,Debit Card,Online,800
